handle,text,cleanText,textLength,textTag,is_retweet,original_author,datetime,date,time,lang,retweet_count,favorite_count
HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump","""What kind of a person would want to root for 9 million families losing their homes?One who should never be president."" —Hillary on Trump",24,Negative,False,,2016-09-27 18:02:54,2016-09-27,18:02:54,en,1127,3216
HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n","""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary ",20,Negative,False,,2016-09-27 17:58:15,2016-09-27,17:58:15,en,586,1681
HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF","""I’m really glad my dad never had a contract with Donald Trump.” —Hillary ",13,Positive,False,,2016-09-27 17:55:26,2016-09-27,17:55:26,en,1580,2967
HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq","When you work hard, you should not be living in poverty. ",11,Negative,False,,2016-09-27 17:52:47,2016-09-27,17:52:47,en,557,1633
realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!","Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",20,Positive,False,,2016-09-27 17:47:36,2016-09-27,17:47:36,en,8534,28578
HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm","""We may have a record-setting turnout in this election.We could have the biggest turnout we've ever had."" ",17,Neutral,False,,2016-09-27 17:44:07,2016-09-27,17:44:07,en,556,1546
HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay","""You can go to  to make sure you are registered. And I hope you all will.” —Hillary NationalVoterRegistrationDay",18,Positive,False,,2016-09-27 17:40:05,2016-09-27,17:40:05,en,661,1326
HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,Join Hillary live in NC for her first rally since winning last night's debate →  NationalVoterRegistrationDay,16,Positive,False,,2016-09-27 17:35:08,2016-09-27,17:35:08,en,1115,3941
HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,So. Everything you're feeling after Debates2016? It's NationalVoterRegistrationDay. PLEASE:… ,9,Positive,True,shondarhimes,2016-09-27 17:20:13,2016-09-27,17:20:13,en,1328,2435
HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",“Donald just criticized me for preparing for this debate. And you know what else I prepared for?I prepared to be… ,20,Positive,False,,2016-09-27 17:07:22,2016-09-27,17:07:22,en,6185,16805
realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd","Thank you for your endorsement, GovernorSununu. MAGA ",7,Positive,False,,2016-09-27 16:58:58,2016-09-27,16:58:58,en,4191,13152
HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,Hillary was the winner of the first presidential debate—and newspapers across America agree. SheWon… ,14,Positive,False,,2016-09-27 16:54:22,2016-09-27,16:54:22,en,2593,6269
HillaryClinton,"Trump sobre Alicia Machado en 1996: ""Miss Piggy""

Esta mañana: ""Aumentó mucho de peso... era un problema serio"". https://t.co/Sv92DhXTPJ","Trump sobre Alicia Machado en 1996: ""Miss Piggy""Esta mañana: ""Aumentó mucho de peso... era un problema serio"". ",17,Negative,True,Hillary_esp,2016-09-27 16:37:19,2016-09-27,16:37:19,es,2252,3264
HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,Register and vote for Democrats like HillaryClinton and KatieMcGintyPA:  iRegistered… ,10,Positive,True,JoeBiden,2016-09-27 16:29:30,2016-09-27,16:29:30,en,1235,3206
HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… ,19,Positive,True,AndrewJenks,2016-09-27 16:24:03,2016-09-27,16:24:03,en,804,2086
HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs","""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado ",17,Positive,False,,2016-09-27 16:12:28,2016-09-27,16:12:28,en,4829,7580
HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.","Today is NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",22,Negative,True,repjohnlewis,2016-09-27 16:03:49,2016-09-27,16:03:49,en,20006,24333
HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: ,20,Positive,True,jasoncollins98,2016-09-27 16:01:04,2016-09-27,16:01:04,en,1138,1554
HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ","When you have a really, really good night. SheWon ",9,Positive,False,,2016-09-27 15:54:07,2016-09-27,15:54:07,en,8242,35744
realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",Such a great honor. Final debate polls are in - and the MOVEMENT wins!AmericaFirst MAGA ImWithYou… ,16,Positive,False,,2016-09-27 15:47:29,2016-09-27,15:47:29,en,13576,27245
HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm","""Register. Vote. Go out and get engaged!” —JoeBiden NationalVoterRegistrationDay ",9,Neutral,False,,2016-09-27 15:42:48,2016-09-27,15:42:48,en,1350,2874
HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden","""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —JoeBiden",25,Positive,False,,2016-09-27 15:32:57,2016-09-27,15:32:57,en,5557,16289
HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm","“Let me tell you who built this damn country: the middle class.” —JoeBidenLet's keep building it, together: ",17,Negative,False,,2016-09-27 15:26:17,2016-09-27,15:26:17,en,1453,4741
HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage:  SheWon,18,Positive,False,,2016-09-27 15:12:56,2016-09-27,15:12:56,en,1452,4840
realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,'U.S. Murders Increased 10.8% in 2015' via WSJ: ,8,Negative,False,,2016-09-27 14:55:57,2016-09-27,14:55:57,en,5365,10729
HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon","""Anyone who complains about microphone problems is not having a good night."" —Hillary SheWon",14,Negative,False,,2016-09-27 14:53:01,2016-09-27,14:53:01,en,4773,14979
realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",Thank you! TrumpWon MAGA ,4,Positive,False,,2016-09-27 14:51:25,2016-09-27,14:51:25,en,7255,17380
realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,Hillary's been failing for 30 years in not getting the job done - it will never change.,17,Negative,False,,2016-09-27 14:49:09,2016-09-27,14:49:09,en,12127,31856
HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z","Trump on Alicia, 1996: ""Miss Piggy.""This morning: ""She gained a massive amount of weight...it was a real problem."" ",18,Positive,False,,2016-09-27 13:57:55,2016-09-27,13:57:55,en,16476,22611
realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' ,12,Positive,False,,2016-09-27 13:49:07,2016-09-27,13:49:07,en,5827,14338
realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,The 1 trend on Twitter right now is TrumpWon - thank you!,12,Positive,False,,2016-09-27 13:17:40,2016-09-27,13:17:40,en,19561,52449
realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,I won every poll from last nights Presidential Debate - except for the little watched CNN poll.,17,Positive,False,,2016-09-27 13:14:55,2016-09-27,13:14:55,en,9598,29309
realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",'How Trump won over a bar full of undecideds and Democrats',11,Positive,False,,2016-09-27 12:55:31,2016-09-27,12:55:31,en,6704,15988
realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,26,Positive,False,,2016-09-27 12:53:42,2016-09-27,12:53:42,en,21628,59791
HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO","""I have a winning temperament."" —Donald Trump last night Really? SheWon ",11,Positive,False,,2016-09-27 12:32:21,2016-09-27,12:32:21,en,4120,10456
HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… ,18,Positive,False,,2016-09-27 11:57:38,2016-09-27,11:57:38,en,6253,17113
realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,Great debate poll numbers - I will be on foxandfriends at 7:00 to discuss. Enjoy!,15,Positive,False,,2016-09-27 10:44:58,2016-09-27,10:44:58,en,4437,16423
realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb","Thank you! Four new DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… ",19,Positive,False,,2016-09-27 06:32:29,2016-09-27,06:32:29,en,10829,24078
realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",.DRUDGE_REPORT's First Presidential Debate Poll:Trump: 80%Clinton: 20%Join the MOVEMENT today &amp; lets MAGA!… ,13,Neutral,False,,2016-09-27 05:54:42,2016-09-27,05:54:42,en,10763,24643
realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op","Thank you! CNBC DebateNight poll with over 400,000 votes. Trump 61%Clinton 39%AmericaFirst ImWithYou… ",13,Positive,False,,2016-09-27 05:44:02,2016-09-27,05:44:02,en,16167,34480
realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu","TIME DebateNight poll - over 800,000 votes. Thank you! AmericaFirst MAGA ",11,Positive,False,,2016-09-27 05:36:33,2016-09-27,05:36:33,en,12479,27258
realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",".newtgingrich just said ""a historic victory for Trump."" NICE!",9,Positive,False,,2016-09-27 05:18:10,2016-09-27,05:18:10,en,7709,24434
HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc","Tonight, HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. debatenight ",18,Positive,True,JoeBiden,2016-09-27 05:16:56,2016-09-27,05:16:56,en,10733,30012
realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!","Wow, did great in the debate polls (except for CNN - which I don't watch). Thank you!",17,Positive,False,,2016-09-27 04:34:09,2016-09-27,04:34:09,en,12739,40321
HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,43 days left. Let’s go win this thing:  DebateNight ,9,Positive,False,,2016-09-27 04:04:38,2016-09-27,04:04:38,en,6505,21912
realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",Thank you Governor TerryBranstad! AmericaFirst Debates2016 ,6,Positive,False,,2016-09-27 04:02:51,2016-09-27,04:02:51,en,5578,14830
realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",Thank you Governor Mike_Pence!Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. AmericaFirst… ,15,Positive,False,,2016-09-27 04:01:32,2016-09-27,04:01:32,en,7350,22113
realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",Thank you Senator TedCruz!Debates2016 MAGA ,5,Positive,False,,2016-09-27 03:58:24,2016-09-27,03:58:24,en,18519,39447
HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,.timkaine That's what we Wellesley girls do! And it's so clear HillaryClinton is the only candidate prepared to be president debatenight,21,Positive,True,madeleine,2016-09-27 03:52:39,2016-09-27,03:52:39,en,3229,10833
HillaryClinton,#DebateNight https://t.co/x4oTfkIlHS,DebateNight ,1,Neutral,False,,2016-09-27 03:41:28,2016-09-27,03:41:28,und,36243,72815
HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z","Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""Her name is Alicia Machado. DebateNight ",14,Negative,False,,2016-09-27 03:33:57,2016-09-27,03:33:57,en,57182,74103
HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,Hillary Clinton did what she needed to do:  ,8,Neutral,True,TheAtlantic,2016-09-27 03:18:22,2016-09-27,03:18:22,en,2277,6913
HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer","Tonight, we heard from two candidates -- but only one president. ImWithHer",12,Neutral,True,ChadHGriffin,2016-09-27 03:14:49,2016-09-27,03:14:49,en,7576,20896
HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight","""Hillary won big time. It was a shut out."" -- HardballChris debatenight",12,Positive,True,hardball,2016-09-27 03:12:31,2016-09-27,03:12:31,en,4682,12991
HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,23,Positive,True,ezraklein,2016-09-27 03:03:24,2016-09-27,03:03:24,en,8546,22141
HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… ,17,Positive,False,,2016-09-27 02:57:56,2016-09-27,02:57:56,en,8550,20188
HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. debatenight ,18,Neutral,False,,2016-09-27 02:50:50,2016-09-27,02:50:50,en,3134,12026
HillaryClinton,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,Gracias señora HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,17,Neutral,True,machadooficial,2016-09-27 02:48:53,2016-09-27,02:48:53,es,11939,22707
HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,RT this if you're proud to be standing with Hillary tonight. debatenight ,12,Positive,False,,2016-09-27 02:45:44,2016-09-27,02:45:44,en,80169,80678
HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: ,21,Positive,False,,2016-09-27 02:43:15,2016-09-27,02:43:15,en,5065,16336
realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",.HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment DebateNight,13,Positive,False,,2016-09-27 02:42:49,2016-09-27,02:42:49,en,8575,19522
realDonaldTrump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on Benghazi. Debates2016 debatenight,15,Neutral,False,,2016-09-27 02:40:26,2016-09-27,02:40:26,en,30921,56562
HillaryClinton,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu","When Donald Trump says he has a ""winning temperament."" debatenight ",10,Positive,False,,2016-09-27 02:40:04,2016-09-27,02:40:04,en,26656,48875
HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,The woman Trump called “Miss Piggy” has a name: Alicia. debatenight ,11,Neutral,False,,2016-09-27 02:38:01,2016-09-27,02:38:01,en,23394,36574
realDonaldTrump,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,.HillaryClinton - Obama ISIS Strategy Has Allowed It To Expand To Become A Global Threat DebateNight ,16,Negative,False,,2016-09-27 02:36:11,2016-09-27,02:36:11,en,6680,15499
HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight","""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary debatenight",22,Neutral,False,,2016-09-27 02:35:21,2016-09-27,02:35:21,en,20652,46042
realDonaldTrump,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi,.realDonaldTrump calling out HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… ,14,Positive,True,TeamTrump,2016-09-27 02:33:59,2016-09-27,02:33:59,en,6139,13209
HillaryClinton,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J","Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” DebateNight ",12,Negative,False,,2016-09-27 02:30:00,2016-09-27,02:30:00,en,5011,13026
realDonaldTrump,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.","Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, HillaryClinton.",22,Positive,False,,2016-09-27 02:28:26,2016-09-27,02:28:26,en,11851,26791
HillaryClinton,.@realDonaldTrump: Barack Obama is your president too. #debatenight,.realDonaldTrump: Barack Obama is your president too. debatenight,8,Neutral,False,,2016-09-27 02:27:23,2016-09-27,02:27:23,en,17402,38775
HillaryClinton,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. DebateNight,20,Negative,False,,2016-09-27 02:26:33,2016-09-27,02:26:33,en,45008,82338
realDonaldTrump,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij",Hillary Clinton failed all over the world. ❌LIBYA❌SYRIA❌IRAN❌IRAQ❌ASIA PIVOT❌RUSSIAN RESET❌BENGHAZI… ,10,Negative,False,,2016-09-27 02:26:13,2016-09-27,02:26:13,en,21745,40457
HillaryClinton,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… ,19,Negative,False,,2016-09-27 02:26:01,2016-09-27,02:26:01,en,5820,13113
HillaryClinton,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",Donald Trump says he has better temperament than Hillary Clinton.Fact check: He is Donald Trump. debate,16,Positive,True,TheBriefing2016,2016-09-27 02:24:39,2016-09-27,02:24:39,en,5646,10367
